,close,close,open,open,adjusted close,adjusted close,dividend amount,dividend amount,high,high,low,low,split coefficient,split coefficient,volume,volume
ticker,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ
date,,,,,,,,,,,,,,,,
2017-01-03,110.47,119.54,109.62,119.31,110.47,116.9845,0.0,0.0,111.0,119.99,109.37,118.89,1.0,1.0,7527353.0,22307608.0
2017-01-04,110.86,120.19,111.06,119.67,110.86,117.6206,0.0,0.0,111.22,120.41,110.61,119.6561,1.0,1.0,4904119.0,19749074.0
2017-01-05,112.58,120.87,112.16,120.16,112.58,118.2861,0.0,0.0,112.94,120.95,112.07,120.1,1.0,1.0,9606761.0,20644254.0
2017-01-06,111.75,121.93,111.81,120.99,111.75,119.3234,0.0,0.0,112.38,122.25,111.57,120.685,1.0,1.0,7686070.0,24074305.0
2017-01-09,112.67,122.33,112.39,122.03,112.67,119.7149,0.0,0.0,113.0399,122.55,112.18,121.95,1.0,1.0,5674636.0,18909234.0
2017-01-10,113.15,122.6,112.94,122.37,113.15,119.9791,0.0,0.0,113.45,122.97,112.635,122.1,1.0,1.0,6093404.0,16176631.0
2017-01-11,113.5,122.93,112.87,122.63,113.5,120.3021,0.0,0.0,114.19,122.93,112.17,122.02,1.0,1.0,9918689.0,20685983.0
2017-01-12,113.91,122.74,114.52,122.49,113.91,120.1161,0.0,0.0,114.93,122.819,113.805,121.6,1.0,1.0,8457319.0,19622511.0
2017-01-13,114.21,123.16,113.65,122.81,114.21,120.5271,0.0,0.0,114.31,123.37,113.19,122.8,1.0,1.0,7261454.0,16930803.0
2017-01-17,115.85,122.79,115.89,122.79,115.85,120.1651,0.0,0.0,115.96,123.03,115.495,122.4342,1.0,1.0,9142370.0,14538484.0
2017-01-18,114.87,123.04,115.74,122.96,114.87,120.4097,0.0,0.0,115.92,123.16,114.56,122.66,1.0,1.0,6498109.0,12499663.0
2017-01-19,114.77,122.98,114.32,123.19,114.77,120.351,0.0,0.0,114.96,123.65,113.935,122.72,1.0,1.0,6437008.0,12710659.0
2017-01-20,115.05,123.25,114.65,123.51,115.05,120.6152,0.0,0.0,115.76,123.83,114.32,122.92,1.0,1.0,12261510.0,22091039.0
2017-01-23,115.79,123.35,115.51,123.16,115.79,120.7131,0.0,0.0,116.17,123.53,115.2,122.57,1.0,1.0,6373102.0,17434167.0
2017-01-24,115.27,124.18,115.69,123.59,115.27,121.5253,0.0,0.0,116.02,124.37,114.94,123.3847,1.0,1.0,5798840.0,17640869.0
2017-01-25,114.32,125.43,114.14,124.94,114.32,122.7486,0.0,0.0,114.44,125.46,113.68,124.85,1.0,1.0,6697523.0,15036221.0
2017-01-26,113.26,125.56,113.24,125.59,113.26,122.8758,0.0,0.0,113.505,125.82,112.83,125.3438,1.0,1.0,5390463.0,16052150.0
2017-01-27,113.49,125.8,112.93,125.8,113.49,123.1107,0.0,0.0,113.545,125.9211,112.81,125.39,1.0,1.0,6706135.0,15052983.0
2017-01-30,113.97,124.82,113.61,125.37,113.97,122.1517,0.0,0.0,114.3,125.38,113.535,124.13,1.0,1.0,7687782.0,25006715.0
2017-01-31,115.55,124.57,115.27,124.4,115.55,121.907,0.0,0.0,115.8173,124.6,115.18,123.85,1.0,1.0,10421882.0,19091133.0
2017-02-01,115.2,125.43,114.66,125.42,115.2,122.7486,0.0,0.0,115.45,125.68,114.14,124.86,1.0,1.0,6932889.0,22861876.0
2017-02-02,115.84,125.32,116.26,125.21,115.84,122.641,0.0,0.0,116.57,125.7,115.63,124.86,1.0,1.0,7189461.0,15101363.0
2017-02-03,116.13,125.68,115.73,125.49,116.13,122.9933,0.0,0.0,116.37,125.81,115.71,125.33,1.0,1.0,9455464.0,16957154.0
2017-02-06,117.7,125.83,117.07,125.42,117.7,123.1401,0.0,0.0,117.74,125.85,116.74,125.35,1.0,1.0,8547843.0,11630139.0
2017-02-07,117.46,126.29,117.31,126.06,117.46,123.5902,0.0,0.0,117.74,126.55,117.2,125.97,1.0,1.0,8621039.0,17541101.0
2017-02-08,118.19,126.5,118.09,126.12,118.19,123.7957,0.0,0.0,118.59,126.68,117.81,125.88,1.0,1.0,9633443.0,12569147.0
2017-02-09,117.29,126.96,118.19,126.63,117.29,124.2459,0.0,0.0,118.58,127.24,117.2,126.56,1.0,1.0,8177210.0,17542726.0
2017-02-10,117.6,127.38,116.68,127.2,117.6,124.6569,0.0,0.0,117.86,127.56,116.67,127.02,1.0,1.0,9072146.0,13915697.0
2017-02-13,116.8,128.1,116.73,127.76,116.8,125.3615,0.0,0.0,116.95,128.26,116.15,127.7199,1.0,1.0,7354924.0,19120150.0
2017-02-14,116.93,128.53,117.51,128.15,116.93,125.7823,0.0,0.0,117.56,128.535,116.38,127.74,1.0,1.0,6927842.0,16333480.0
2017-02-15,117.45,129.29,116.33,128.44,117.45,126.5261,0.0,0.0,117.48,129.35,116.25,128.37,1.0,1.0,7088419.0,17891355.0
2017-02-16,118.08,129.25,117.93,129.36,118.08,126.487,0.0,0.0,118.35,129.63,117.83,128.92,1.0,1.0,6378650.0,15098286.0
2017-02-17,117.68,129.81,118.19,129.09,117.68,127.035,0.0,0.0,118.4,129.82,117.62,129.04,1.0,1.0,7338065.0,15563730.0
2017-02-21,117.75,130.45,117.04,130.03,117.75,127.6613,0.0,0.0,118.0,130.53,116.77,129.99,1.0,1.0,6166875.0,18479628.0
2017-02-22,117.91,130.5,117.86,130.32,117.91,127.7102,0.0,0.0,118.02,130.59,117.24,130.111,1.0,1.0,6057179.0,12110876.0
2017-02-23,118.94,130.01,118.76,130.7,118.94,127.2307,0.0,0.0,119.16,130.7,118.68,129.49,1.0,1.0,7523304.0,17489023.0
2017-02-24,119.7,130.26,119.74,129.47,119.7,127.4754,0.0,0.0,119.88,130.26,119.25,129.38,1.0,1.0,9808957.0,18624489.0
2017-02-27,119.12,130.42,119.73,130.02,119.12,127.6319,0.0,0.0,120.4,130.43,119.12,129.8,1.0,1.0,9263499.0,12008672.0
2017-02-28,119.23,130.02,119.71,130.39,119.23,127.2405,0.0,0.0,119.84,130.45,118.82,129.66,1.0,1.0,8727832.0,16598581.0
2017-03-01,119.06,131.44,117.98,130.81,119.06,128.6301,0.0,0.0,119.12,131.68,117.95,130.6,1.0,1.0,8679637.0,25813827.0
2017-03-02,117.58,130.78,117.76,131.43,117.58,127.9842,0.0,0.0,118.34,131.43,117.23,130.62,1.0,1.0,10986262.0,19951386.0
2017-03-03,117.51,131.02,116.95,130.65,117.51,128.2191,0.0,0.0,117.73,131.06,116.44,130.341,1.0,1.0,10665818.0,13722749.0
2017-03-06,116.72,130.73,117.35,130.56,116.72,127.9353,0.0,0.0,117.35,130.95,116.63,130.21,1.0,1.0,4883547.0,12026151.0
2017-03-07,115.78,130.51,116.13,130.45,115.78,127.72,0.0,0.0,116.25,131.08,115.62,130.28,1.0,1.0,6846277.0,15500945.0
2017-03-08,115.06,130.74,114.99,130.57,115.06,127.9451,0.0,0.0,115.36,131.15,114.95,130.46,1.0,1.0,7620924.0,15776027.0
2017-03-09,114.47,130.84,114.78,130.71,114.47,128.043,0.0,0.0,115.03,131.02,114.41,130.14,1.0,1.0,6410916.0,20855253.0
2017-03-10,114.72,131.39,114.45,131.42,114.72,128.5812,0.0,0.0,114.73,131.6,114.13,130.82,1.0,1.0,7929500.0,21922601.0
2017-03-13,114.74,131.61,114.63,131.34,114.74,128.7965,0.0,0.0,114.91,131.64,114.51,131.27,1.0,1.0,5807391.0,10731575.0
2017-03-14,114.12,131.29,114.54,131.31,114.12,128.4833,0.0,0.0,115.01,131.36,114.03,130.76,1.0,1.0,5301810.0,14019689.0
2017-03-15,116.25,132.1,114.29,131.58,116.25,129.276,0.0,0.0,116.25,132.405,114.02,131.14,1.0,1.0,13524082.0,22709139.0
2017-03-16,116.73,132.01,117.27,132.33,116.73,129.1879,0.0,0.0,117.29,132.35,116.69,131.71,1.0,1.0,9322018.0,18457291.0
2017-03-17,116.99,131.69,117.04,131.86,116.99,129.1429,0.0,0.274,117.27,132.04,116.91,131.62,1.0,1.0,4683039.0,21234529.0
2017-03-20,117.51,131.81,117.31,131.65,117.51,129.2606,0.0,0.0,117.6,132.11,117.21,131.4601,1.0,1.0,4000202.0,10105210.0
2017-03-21,118.54,129.81,117.77,132.31,118.54,127.2993,0.0,0.0,118.8,132.43,117.76,129.73,1.0,1.0,9567932.0,35841897.0
2017-03-22,118.83,130.69,118.87,129.89,118.83,128.1623,0.0,0.0,119.15,130.82,118.68,129.68,1.0,1.0,7287350.0,29177883.0
2017-03-23,118.67,130.36,119.15,130.52,118.67,127.8387,0.0,0.0,119.25,130.88,118.32,130.14,1.0,1.0,6201129.0,20311655.0
2017-03-24,118.86,130.63,118.5,130.78,118.86,128.1034,0.0,0.0,119.21,131.29,118.39,130.13,1.0,1.0,6879634.0,22967566.0
2017-03-27,119.53,130.84,119.93,129.73,119.53,128.3094,0.0,0.0,120.08,131.07,119.27,129.4,1.0,1.0,8519573.0,18472445.0
2017-03-28,119.04,131.64,119.74,130.81,119.04,129.0939,0.0,0.0,119.83,132.03,118.78,130.55,1.0,1.0,7112787.0,23721947.0
2017-03-29,119.33,132.25,119.22,131.73,119.33,129.6921,0.0,0.0,119.45,132.3,119.05,131.59,1.0,1.0,4911042.0,13709968.0
2017-03-30,118.47,132.47,118.77,132.22,118.47,129.9078,0.0,0.0,119.12,132.61,118.32,132.08,1.0,1.0,6894572.0,16092374.0
2017-03-31,118.72,132.38,118.61,132.27,118.72,129.8196,0.0,0.0,119.08,132.74,118.46,132.125,1.0,1.0,8520847.0,19841411.0
2017-04-03,119.35,132.3,118.69,132.48,119.35,129.7411,0.0,0.0,119.37,132.81,118.67,131.56,1.0,1.0,6105704.0,23700310.0
2017-04-04,119.62,132.51,119.59,131.9,119.62,129.9471,0.0,0.0,119.77,132.53,119.38,131.87,1.0,1.0,4687301.0,13400022.0
2017-04-05,119.62,131.97,118.62,132.68,119.62,129.4175,0.0,0.0,119.63,133.48,118.4,131.72,1.0,1.0,8105952.0,32011155.0
2017-04-06,119.18,132.04,119.22,132.12,119.18,129.4862,0.0,0.0,119.42,132.39,118.98,131.7,1.0,1.0,4633470.0,18832193.0
2017-04-07,119.46,131.97,120.3,131.99,119.46,129.4175,0.0,0.0,120.67,132.37,119.14,131.5,1.0,1.0,12350093.0,16726191.0
2017-04-10,119.46,132.02,119.04,132.11,119.46,129.4666,0.0,0.0,119.69,132.565,118.85,131.6564,1.0,1.0,4623673.0,15619276.0
2017-04-11,121.19,131.45,120.33,131.86,121.19,128.9076,0.0,0.0,121.4,132.095,120.29,130.5,1.0,1.0,12455294.0,33778359.0
2017-04-12,122.02,130.92,121.38,131.45,122.02,128.3878,0.0,0.0,122.22,131.54,121.14,130.78,1.0,1.0,9502540.0,15955195.0
2017-04-13,122.6,130.4,122.54,130.75,122.6,127.8779,0.0,0.0,122.65,131.51,122.03,130.38,1.0,1.0,9892641.0,23683020.0
2017-04-17,122.24,131.48,122.55,130.8,122.24,128.937,0.0,0.0,123.07,131.5,121.99,130.72,1.0,1.0,8469580.0,13325508.0
2017-04-18,122.82,131.28,122.43,131.01,122.82,128.7409,0.0,0.0,123.03,131.66,121.73,130.95,1.0,1.0,10903701.0,12841087.0
2017-04-19,121.73,131.49,122.25,131.85,121.73,128.9468,0.0,0.0,122.26,132.29,121.28,131.31,1.0,1.0,8472702.0,17764817.0
2017-04-20,121.96,132.59,121.82,132.04,121.96,130.0255,0.0,0.0,122.17,132.88,121.5,131.82,1.0,1.0,11787330.0,21977910.0
2017-04-21,122.31,132.56,122.14,132.7,122.31,129.9961,0.0,0.0,122.61,132.76,121.73,132.22,1.0,1.0,15608031.0,22454948.0
2017-04-24,121.48,134.16,120.77,134.02,121.48,131.5652,0.0,0.0,121.51,134.285,120.66,133.8042,1.0,1.0,11053559.0,22469948.0
2017-04-25,120.25,135.13,120.53,134.58,120.25,132.5164,0.0,0.0,120.87,135.3664,120.05,134.48,1.0,1.0,10344784.0,19384398.0
2017-04-26,120.84,134.94,120.21,135.17,120.84,132.3301,0.0,0.0,120.96,135.51,119.87,134.86,1.0,1.0,9758844.0,25398542.0
2017-04-27,120.39,135.75,120.42,135.28,120.39,133.1244,0.0,0.0,120.6,135.75,119.97,135.19,1.0,1.0,8266954.0,16136538.0
2017-04-28,120.77,135.99,120.34,136.28,120.77,133.3598,0.0,0.0,120.77,136.34,120.27,135.77,1.0,1.0,9134246.0,22771946.0
2017-05-01,119.67,137.2,120.21,136.46,119.67,134.5464,0.0,0.0,120.75,137.38,119.35,136.38,1.0,1.0,9331809.0,24815525.0
2017-05-02,119.65,137.43,119.3,137.38,119.65,134.7719,0.0,0.0,119.65,137.49,119.24,137.02,1.0,1.0,4900784.0,18345071.0
2017-05-03,117.98,136.99,119.18,137.14,117.98,134.3404,0.0,0.0,119.34,137.17,117.92,136.615,1.0,1.0,10811052.0,23827550.0
2017-05-04,116.79,137.04,116.81,137.01,116.79,134.3895,0.0,0.0,117.28,137.43,116.63,136.56,1.0,1.0,12405323.0,14630063.0
2017-05-05,117.01,137.54,116.86,137.39,117.01,134.8798,0.0,0.0,117.07,137.54,116.68,136.88,1.0,1.0,7127199.0,19330652.0
2017-05-08,116.75,137.84,117.03,137.61,116.75,135.174,0.0,0.0,117.14,137.84,116.68,137.33,1.0,1.0,5438375.0,13279931.0
2017-05-09,116.05,138.32,116.18,138.05,116.05,135.6447,0.0,0.0,116.24,138.628,115.56,137.93,1.0,1.0,6801280.0,28426109.0
2017-05-10,116.04,138.4,116.42,138.4,116.04,135.7232,0.0,0.0,116.5,138.45,115.86,137.91,1.0,1.0,4290459.0,20499363.0
2017-05-11,116.5,138.29,116.21,138.03,116.5,135.6153,0.0,0.0,116.85,138.33,116.19,137.38,1.0,1.0,6274368.0,27232074.0
2017-05-12,116.83,138.6,117.07,138.37,116.83,135.9193,0.0,0.0,117.16,138.63,116.73,138.23,1.0,1.0,5434477.0,19738629.0
2017-05-15,117.14,139.04,117.52,138.63,117.14,136.3508,0.0,0.0,117.54,139.12,116.99,138.53,1.0,1.0,5019589.0,20481327.0
2017-05-16,117.65,139.62,117.45,139.36,117.65,136.9196,0.0,0.0,117.91,139.64,117.4,138.99,1.0,1.0,4942822.0,21785994.0
2017-05-17,119.79,136.07,119.36,138.55,119.79,133.4382,0.0,0.0,120.02,138.77,119.27,136.05,1.0,1.0,13936876.0,55642178.0
2017-05-18,118.81,137.26,119.77,136.06,118.81,134.6052,0.0,0.0,119.84,137.72,118.56,135.87,1.0,1.0,10341141.0,41319882.0
2017-05-19,119.4,137.84,119.39,137.71,119.4,135.174,0.0,0.0,119.55,138.42,118.88,137.66,1.0,1.0,6787254.0,36730112.0
2017-05-22,119.9,139.0,119.63,138.14,119.9,136.3115,0.0,0.0,120.14,139.075,119.58,138.0967,1.0,1.0,5132485.0,19509659.0
2017-05-23,119.14,139.14,120.13,139.42,119.14,136.4488,0.0,0.0,120.19,139.42,118.98,138.7801,1.0,1.0,8305434.0,19687534.0
2017-05-24,119.61,139.78,119.07,139.56,119.61,137.0765,0.0,0.0,119.74,139.85,118.92,139.17,1.0,1.0,7064911.0,18323864.0
2017-05-25,119.48,140.97,119.52,140.315,119.48,138.2434,0.0,0.0,119.7,141.33,119.29,140.01,1.0,1.0,4105092.0,23928591.0
2017-05-26,120.54,141.22,120.49,141.0,120.54,138.4886,0.0,0.0,120.79,141.28,120.33,140.81,1.0,1.0,6791648.0,13851582.0
2017-05-30,120.14,141.34,120.24,141.13,120.14,138.6063,0.0,0.0,120.33,141.505,119.95,141.06,1.0,1.0,4507493.0,20306409.0
2017-05-31,120.62,141.29,120.31,141.8,120.62,138.5573,0.0,0.0,121.23,141.84,120.26,140.57,1.0,1.0,10360724.0,33229404.0
2017-06-01,120.72,141.84,120.17,141.57,120.72,139.0966,0.0,0.0,120.74,141.9,120.06,140.98,1.0,1.0,8702543.0,20120741.0
2017-06-02,121.61,143.46,121.31,142.34,121.61,140.6853,0.0,0.0,121.71,143.49,121.19,142.11,1.0,1.0,7268054.0,37222881.0
2017-06-05,121.73,143.43,121.91,143.44,121.73,140.6559,0.0,0.0,121.94,143.68,121.58,143.23,1.0,1.0,3979162.0,15727526.0
2017-06-06,123.1,142.86,123.09,143.28,123.1,140.0969,0.0,0.0,123.31,143.73,122.77,142.65,1.0,1.0,10798527.0,22393024.0
2017-06-07,122.45,143.42,122.79,143.23,122.45,140.6461,0.0,0.0,123.16,143.54,122.02,142.6,1.0,1.0,9039175.0,18842408.0
2017-06-08,121.65,143.57,122.07,143.74,121.65,140.7932,0.0,0.0,122.08,143.8,120.95,142.79,1.0,1.0,8169807.0,25417408.0
2017-06-09,120.54,139.98,120.46,143.74,120.54,137.2726,0.0,0.0,120.91,143.9,120.4,138.11,1.0,1.0,7054664.0,1097837.0
2017-06-12,120.36,139.23,120.33,138.84,120.36,136.5371,0.0,0.0,120.69,139.48,120.27,137.47,1.0,1.0,4927375.0,104453977.0
2017-06-13,120.48,140.36,119.95,140.01,120.48,137.6452,0.0,0.0,120.71,140.56,119.92,139.28,1.0,1.0,3786628.0,51193010.0
2017-06-14,119.82,139.75,121.51,140.92,119.82,137.047,0.0,0.0,121.88,140.93,119.57,138.62,1.0,1.0,21124841.0,60093764.0
2017-06-15,119.32,139.13,119.22,138.35,119.32,136.439,0.0,0.0,119.5,139.28,119.13,137.49,1.0,1.0,6796668.0,55145160.0
2017-06-16,119.34,138.15,119.35,138.72,119.34,135.8487,0.0,0.378,119.5,138.777,119.24,137.638,1.0,1.0,6435674.0,48087413.0
2017-06-19,118.43,140.46,118.74,139.45,118.43,138.1202,0.0,0.0,118.84,140.59,118.33,139.28,1.0,1.0,6786973.0,39626533.0
2017-06-20,118.18,139.36,118.42,140.31,118.18,137.0385,0.0,0.0,118.46,140.5,118.07,139.31,1.0,1.0,4617387.0,40935078.0
2017-06-21,118.52,140.74,118.15,139.66,118.52,138.3955,0.0,0.0,118.66,140.81,118.15,139.59,1.0,1.0,4723749.0,35743366.0
2017-06-22,118.92,140.7,119.13,140.94,118.92,138.3562,0.0,0.0,119.2,141.22,118.6,140.34,1.0,1.0,5811927.0,24099115.0
2017-06-23,119.43,141.24,119.65,140.53,119.43,138.8872,0.0,0.0,119.66,141.42,119.31,140.15,1.0,1.0,9258628.0,21654314.0
2017-06-26,118.36,140.58,118.29,142.0,118.36,138.2382,0.0,0.0,118.54,142.29,118.17,140.27,1.0,1.0,6593380.0,34411094.0
2017-06-27,118.81,138.03,118.87,140.07,118.81,135.7307,0.0,0.0,119.05,140.22,118.48,138.02,1.0,1.0,5759344.0,65957819.0
2017-06-28,118.9,140.02,119.06,138.54,118.9,137.6875,0.0,0.0,119.06,140.14,118.69,137.74,1.0,1.0,4220130.0,57427180.0
2017-06-29,118.32,137.59,117.97,139.4,118.32,135.298,0.0,0.0,118.64,139.44,117.91,136.25,1.0,1.0,7705165.0,88769351.0
2017-06-30,118.02,137.64,118.08,138.0,118.02,135.3472,0.0,0.0,118.41,138.6687,117.95,137.19,1.0,1.0,7272612.0,68898255.0
2017-07-03,116.09,136.19,116.54,138.25,116.09,133.9213,0.0,0.0,116.85,138.43,115.94,136.1,1.0,1.0,12145049.0,32797005.0
2017-07-05,116.52,137.53,115.91,136.57,116.52,135.239,0.0,0.0,116.67,137.9,115.87,136.16,1.0,1.0,7223256.0,42116584.0
2017-07-06,116.47,136.29,116.58,136.47,116.47,134.0197,0.0,0.0,116.61,137.06,116.24,135.8,1.0,1.0,4443390.0,48430476.0
2017-07-07,115.28,137.76,115.78,136.74,115.28,135.4652,0.0,0.0,115.79,138.13,114.8,136.74,1.0,1.0,11153608.0,36970402.0
2017-07-10,115.47,138.66,115.02,137.84,115.47,136.3502,0.0,0.0,115.57,138.985,114.83,137.5,1.0,1.0,4970886.0,24853545.0
2017-07-11,115.62,139.05,115.26,138.44,115.62,136.7337,0.0,0.0,115.77,139.22,114.88,137.94,1.0,1.0,6637939.0,31517660.0
2017-07-12,116.03,140.7,116.21,140.21,116.03,138.3562,0.0,0.0,116.33,140.86,115.87,139.955,1.0,1.0,4654361.0,36045799.0
2017-07-13,115.82,141.01,116.04,140.85,115.82,138.661,0.0,0.0,116.04,141.35,115.67,140.6,1.0,1.0,4148935.0,31073595.0
2017-07-14,116.77,142.12,117.04,141.57,116.77,139.7525,0.0,0.0,117.25,142.3,116.64,141.19,1.0,1.0,5788219.0,34544847.0
2017-07-17,117.29,142.19,117.42,142.25,117.29,139.8214,0.0,0.0,117.53,142.69,117.23,141.92,1.0,1.0,5170849.0,25343155.0
2017-07-18,118.11,143.14,117.99,142.06,118.11,140.7556,0.0,0.0,118.33,143.17,117.88,141.64,1.0,1.0,7158573.0,25748527.0
2017-07-19,118.08,143.98,118.18,143.53,118.08,141.5816,0.0,0.0,118.27,144.19,117.84,143.5,1.0,1.0,3205142.0,33752309.0
2017-07-20,118.24,144.17,117.92,144.31,118.24,141.7684,0.0,0.0,118.62,144.44,117.66,143.52,1.0,1.0,5571648.0,36139449.0
2017-07-21,119.26,144.11,119.0,143.62,119.26,141.7094,0.0,0.0,119.39,144.11,118.75,143.35,1.0,1.0,10135919.0,39697094.0
2017-07-24,119.31,144.77,119.52,144.07,119.31,142.3584,0.0,0.0,119.58,144.87,119.18,143.92,1.0,1.0,3654331.0,26712732.0
2017-07-25,118.92,144.4,118.99,144.29,118.92,141.9946,0.0,0.0,119.32,144.74,118.79,144.01,1.0,1.0,6202988.0,28120884.0
2017-07-26,119.88,144.87,118.57,144.74,119.88,142.4567,0.0,0.0,120.15,144.95,118.55,144.53,1.0,1.0,8527944.0,18610634.0
2017-07-27,119.79,143.96,120.1,145.86,119.79,141.5619,0.0,0.0,120.14,145.96,119.28,142.3,1.0,1.0,6385216.0,80665866.0
2017-07-28,120.69,143.84,120.15,143.14,120.69,141.4439,0.0,0.0,120.86,144.0752,120.14,142.87,1.0,1.0,7393606.0,38013176.0
2017-07-31,120.75,143.23,120.5,144.22,120.75,140.8441,0.0,0.0,120.81,144.43,120.45,142.92,1.0,1.0,3944561.0,33848645.0
2017-08-01,120.65,143.56,120.44,143.7,120.65,141.1686,0.0,0.0,121.14,143.76,120.44,143.12,1.0,1.0,7365056.0,20149421.0
2017-08-02,120.4,143.95,120.51,144.45,120.4,141.5521,0.0,0.0,121.02,144.52,120.34,142.61,1.0,1.0,5945279.0,41769667.0
2017-08-03,120.59,143.39,120.31,144.17,120.59,141.0014,0.0,0.0,120.83,144.17,120.31,143.13,1.0,1.0,4275576.0,27112799.0
2017-08-04,119.65,143.65,119.97,143.65,119.65,141.2571,0.0,0.0,120.04,143.97,119.22,143.06,1.0,1.0,8644781.0,29472909.0
2017-08-07,119.51,144.56,119.43,143.89,119.51,142.1519,0.0,0.0,119.79,144.56,119.43,143.71,1.0,1.0,3010138.0,17933942.0
2017-08-08,119.86,144.31,120.02,144.27,119.86,141.9061,0.0,0.0,120.12,145.47,118.97,143.9,1.0,1.0,7227220.0,30810364.0
2017-08-09,121.31,144.12,121.02,143.14,121.31,141.7192,0.0,0.0,121.55,144.19,120.76,142.795,1.0,1.0,9186236.0,36169473.0
2017-08-10,122.21,141.03,122.08,143.33,122.21,138.6807,0.0,0.0,122.44,143.4,122.03,140.89,1.0,1.0,9817872.0,63331663.0
2017-08-11,122.79,142.1,122.24,141.24,122.79,139.7329,0.0,0.0,122.83,142.41,122.03,140.9,1.0,1.0,8019519.0,45862488.0
2017-08-14,121.92,143.93,121.98,143.23,121.92,141.5324,0.0,0.0,122.24,144.15,121.68,143.19,1.0,1.0,6035297.0,34161024.0
